id,name,description,city,state
318538,COMSTOCK CONSULTING LLC,Private Lobbying Firm,Washington,DC
318551,"ANDERSONTUELL, LLP",Native American Law Firm,Washington,DC
318573,ASSOCIATION RESOURCES,,WEST HARTFORD,CT
318595,"CENTECH GROUP, INC.",,Arlington,VA
318618,MARRON & ASSOCIATES,Law Firm,Long Beach,CA
318631,WEBSTER-HOFF,,GLENDALE HEIGHTS,IL
318675,DAYJET CORPORATION,,Boca Raton,FL
318711,"HOSPIRA, INC.",Medical device and prescription drug manufacturer,LAKE FOREST,IL
318755,THE FEEHERY GROUP,strategic communications and advocacy,Washington,DC
318777,GEORGIA STUDENT FINANCE COMMISSION,,TUCKER,GA
318790,IAN PFEIFFER GOVERNMENT RELATIONS,Lobbying,WASHINGTON,DC
318813,"GREENPEACE, INC.",NON-PROFIT ENVIRONMENTAL ORGANIZATION,WASHINGTON,DC
318835,"OXLEY CONSULTING, LLC",,Washington,DC
318857,SUNLIGHT FOUNDATION,,Washington,DC
318870,EARL RASMUSSEN,,FALLS CHURCH,VA
318892,LLOYD HAND & ASSOCIATES LLC,,Washington,DC
318915,"AMERICAN CANCER SOCIETY, HIGH PLAINS DIVISION, INC.",,AUSTIN,TX
318937,ENTERPRISE PRODUCTS PARTNERS LP (FORMERLY KNOWN AS ENTERPRISE PRODUCTS COMPANY O,Natural gas & liquid pipelines,Houston,TX
318950,ANSLEY & ASSOC LLC,,ALEXANDRIA,VA
318972,ANDEAVOR,,Washington,DC
318994,SC PARTNERS LLC,Government affairs consulting firm,Washington,DC
319016,"PLM GROUP, LLC","Public Policy, Government Relations and Public Affairs Firm",WASHINGTON,DC
319038,HOSPICE ACTION NETWORK,,Alexandria,VA
319051,ADFARM,"ADVERTISING, PUBLIC RELATIONS, COMMUNICATIONS",KANSAS CITY,MO
319073,"EPSILON SYSTEMS SOLUTIONS, INC.",,SAN DIEGO,CA
319095,CHARLES KITCHEN,Government Relations,Garnet Valley,PA
319118,"THE STATE UNIVERSITY OF NEW YORK, SYSTEM ADMINISTRATION",Higher Education,ALBANY,NY
319131,"ALTHA, INC. (ACUTE LONG TERM HOSPITAL ASSOCIATION)",,Washington,DC
319175,EDWARD B. WALLIS,,BLOOMINGTON,IN
319197,"RPI GROUP, INC.",Government Relations & Business Development Services,Fredericksburg,VA
319211,EXPEDIA GROUP,,Seattle,WA
319233,GATHERING OF EAGLES,,CHARLOTTE ,NC
319255,STRATEGIC PUBLIC AFFAIRS,Public affairs,Houston,TX
319277,ORBITZ WORLDWIDE,Online travel company,Chicago,IL
319290,CMA CGM (AMERICA) LLC,Ocean Shipping - Containership Operator,Washington,DC
319313,DEFENSE METALS TECHNOLOGY CENTER,,NORTH CANTON,OH
319335,STANLEY PARRISH,,Sandy,UT
319370,VETERANS FOR COMMON SENSE,,Washington,DC
319392,CENTER FOR CHILDREN'S LAW AND POLICY,Juvenile justice reform and the protection of children's rights.,WASHINGTON,DC
319415,MELANIE KENDERDINE,Energy consultant,Washington,DC
319437,KNA SERVICES INC,Public Relations,Deltona,FL
319450,NATL ASSOC OF CONSERVATION DISTRICTS,,WASHINGTON ,DC
319472,"WESTERN SKIES STRATEGIES, INC.",Government relations and consulting,Billings,MT
319494,"HARSHMAN CONSULTING, LLC","Government consulting, business development, and lobbying.",Jeannette,PA
319517,CANDACE BARTLETT,,ARLINGTON,TN
319530,AMERICAN SOCIETY OF LANDSCAPE ARCHITECTS,professional membership organization,"Washington, DC",DC
319552,TYCO ELECTRONICS CORPORATION,,Washington,DC
319574,THE SOUND BANKING COALITION,,WASHINGTON,DC
319596,"RYAN, LIZ",,WASHINGTON,DC
319610,THOMPSON ADVISORY GROUP,clinical research,Great Falls,VA
319632,NATIONAL ASSOCIATION OF SHELL MARKETERS,Trade association,Lexington,KY
319654,NATIONAL POSTAL MAIL HANDLERS UNION,Labor issues,Washington,DC
319676,NEW GENERATION BIOFUELS (FORMERLY H2DIESEL),,Washington,DC
319698,"STONY BROOK UNIVERSITY, SUNY STONY BROOK",,Stony Brook,NY
319712,NORTH AMERICAN MEAT ASSOCIATION,,Oakland,CA
319734,"SOUNDEXCHANGE, INC.",,Washington,DC
319756,TRIBUTARY LLP,Law Firm,Arlington,VA
319778,COVIDIEN LP,Medical Products Manufacturer,Washington,DC
319791,LERMAN SENTER PLLC (FORMERLY LEVENTHAL SENTER & LERMAN PLLC),,Washington,DC
319814,KIMBERLY LOVE,"Consultant, Advocacy, Coalition Convener",Silver Spring,MD
319836,MICHAEL SOLON-CAPITOL LEGISTICS,consulting,Alexandria,VA
319858,PIONEER GOVERNMENT AFFAIRS LLC,,Washington,DC
319871,JUSTIN AILES,,Arlington,VA
319893,UNITED TO END GENOCIDE,,Washington,DC
319916,BRIAN FOSTER,Business Consulting and Lobbying,Hampton,IA
319938,HCS,,Bethesda,MD
319951,LAW OFFICES OF PATRICK W. REILLY,,Alexandria,VA
319973,"WATSON & CO, J",,WASHINGTON,DC
319995,ALION SCIENCE AND TECHNOLOGY,Science and technology solutions,McLean,VA
320018,NORTH COAST STRATEGIES INC,,BERKLEY,MI
320053,DYNAMOTIVE USA,,ARLINGTON,VA
320075,TURMAN  GROUP,,LONGBOAT KEY,FL
320097,QUORUM STRATEGIES LLC,,Washington,DC
320111,GRANT HOWARD LLP,,COLUMBIA,SC
320133,AMERICANS FOR UNFPA,,Washington,DC
320155,"VANGUARD GOVERNMENT STRATEGIES, LLC",,Burke,VA
320177,SUMMIT GLOBAL STRATEGIES LLC,,Bethesda,MD
320213,STATE CAPITALS ORGANIZED TO PROTECT AMERICA (SCOPA),,WASHINGTON,DC
